Grid file = n3_100/n3_100_des.grd, dessis plot file = n3_100/n3_100_100_des.dat
number of vertices = 10181
detector dimensions = 25.000000 6.250000 100.000000 um 
enter the number of output grid points in each dim: nx[21], ny[21], nz[92]
89 ind = 10165, z = 9.921875e+01, wvtx = 3.794360e-01
90 ind = 10164, z = 9.921875e+01, wvtx = 3.805723e-01
91 ind = 10179, z = 9.921875e+01, wvtx = 3.798692e-01
92 ind = 2943, z = 9.921875e+01, wvtx = 3.637348e-01
93 ind = 2937, z = 9.921875e+01, wvtx = 3.627681e-01
94 ind = 2938, z = 9.921875e+01, wvtx = 3.637202e-01
95 ind = 2940, z = 9.921875e+01, wvtx = 3.642343e-01
96 ind = 2942, z = 9.921875e+01, wvtx = 3.636355e-01
97 ind = 2958, z = 1.000000e+02, wvtx = 4.087524e-01
98 ind = 2945, z = 1.000000e+02, wvtx = 4.244984e-01
99 ind = 2944, z = 1.000000e+02, wvtx = 4.087529e-01
100 ind = 2957, z = 1.000000e+02, wvtx = 4.243107e-01
101 ind = 2951, z = 1.000000e+02, wvtx = 4.243460e-01
102 ind = 2952, z = 1.000000e+02, wvtx = 4.087693e-01
103 ind = 2953, z = 1.000000e+02, wvtx = 4.243902e-01
104 ind = 2956, z = 1.000000e+02, wvtx = 4.087519e-01
105 ind = 4, z = 1.000000e+02, wvtx = 4.086194e-01
